Tick ,Customer ID,State
307,4,Buy
307,3,Buy
307,2,Buy
307,1,Null Transaction
311,4,Null Transaction
311,3,Null Transaction
311,2,Null Transaction
311,1,Buy
321,4,Null Transaction
321,3,Null Transaction
321,2,Buy
321,1,Null Transaction
325,4,Null Transaction
325,3,Null Transaction
325,2,Buy
325,1,Buy
326,4,Null Transaction
326,3,Null Transaction
326,2,Null Transaction
326,1,Buy
329,4,Null Transaction
329,3,Null Transaction
329,2,Null Transaction
329,1,Buy
335,4,Null Transaction
335,3,Null Transaction
335,2,Null Transaction
335,1,Null Transaction
342,4,Null Transaction
342,3,Null Transaction
342,2,Null Transaction
342,1,Null Transaction
344,4,Null Transaction
344,3,Null Transaction
344,2,Null Transaction
344,1,Null Transaction
347,4,Null Transaction
347,3,Null Transaction
347,2,Buy
347,1,Null Transaction
340,4,Null Transaction
340,3,Null Transaction
340,2,Null Transaction
340,1,Null Transaction
348,4,Null Transaction
348,3,Null Transaction
348,2,Buy
348,1,Null Transaction
347,4,Null Transaction
347,3,Null Transaction
347,2,Null Transaction
347,1,Null Transaction
343,4,Null Transaction
343,3,Null Transaction
343,2,Buy
343,1,Null Transaction
345,4,Null Transaction
345,3,Null Transaction
345,2,Buy
345,1,Null Transaction
353,4,Null Transaction
353,3,Buy
353,2,Null Transaction
353,1,Null Transaction
353,4,Null Transaction
353,3,Null Transaction
353,2,Null Transaction
353,1,Null Transaction
352,4,Buy
352,3,Null Transaction
352,2,Null Transaction
352,1,Buy
351,4,Null Transaction
351,3,Null Transaction
351,2,Null Transaction
351,1,Null Transaction
360,4,Null Transaction
360,3,Null Transaction
360,2,Null Transaction
360,1,Null Transaction
363,4,Buy
363,3,Null Transaction
363,2,Null Transaction
363,1,Null Transaction
360,4,Null Transaction
360,3,Buy
360,2,Null Transaction
360,1,Null Transaction
370,4,Null Transaction
370,3,Null Transaction
370,2,Null Transaction
370,1,Null Transaction
372,4,Null Transaction
372,3,Null Transaction
372,2,Buy
372,1,Null Transaction
371,4,Null Transaction
371,3,Null Transaction
371,2,Buy
371,1,Null Transaction
367,4,Buy
367,3,Null Transaction
367,2,Buy
367,1,Null Transaction
373,4,Null Transaction
373,3,Null Transaction
373,2,Buy
373,1,Null Transaction
382,4,Null Transaction
382,3,Buy
382,2,Null Transaction
382,1,Null Transaction
381,4,Null Transaction
381,3,Null Transaction
381,2,Buy
381,1,Null Transaction
378,4,Null Transaction
378,3,Null Transaction
378,2,Null Transaction
378,1,Buy
378,4,Null Transaction
378,3,Null Transaction
378,2,Null Transaction
378,1,Null Transaction
381,4,Null Transaction
381,3,Null Transaction
381,2,Buy
381,1,Null Transaction
384,4,Null Transaction
384,3,Null Transaction
384,2,Buy
384,1,Null Transaction
388,4,Buy
388,3,Null Transaction
388,2,Buy
388,1,Buy
382,4,Null Transaction
382,3,Buy
382,2,Buy
382,1,Buy
388,4,Buy
388,3,Null Transaction
388,2,Buy
388,1,Null Transaction
390,4,Null Transaction
390,3,Null Transaction
390,2,Buy
390,1,Null Transaction
397,4,Null Transaction
397,3,Null Transaction
397,2,Null Transaction
397,1,Null Transaction
393,4,Buy
393,3,Null Transaction
393,2,Buy
393,1,Null Transaction
400,4,Null Transaction
400,3,Null Transaction
400,2,Null Transaction
400,1,Null Transaction
409,4,Null Transaction
409,3,Null Transaction
409,2,Null Transaction
409,1,Null Transaction
403,4,Null Transaction
403,3,Null Transaction
403,2,Buy
403,1,Null Transaction
409,4,Buy
409,3,Buy
409,2,Buy
409,1,Buy
408,4,Buy
408,3,Null Transaction
408,2,Null Transaction
408,1,Buy
416,4,Null Transaction
416,3,Buy
416,2,Null Transaction
416,1,Null Transaction
419,4,Null Transaction
419,3,Null Transaction
419,2,Buy
419,1,Null Transaction
422,4,Null Transaction
422,3,Buy
422,2,Null Transaction
422,1,Null Transaction
428,4,Null Transaction
428,3,Null Transaction
428,2,Null Transaction
428,1,Null Transaction
430,4,Null Transaction
430,3,Null Transaction
430,2,Null Transaction
430,1,Null Transaction
425,4,Null Transaction
425,3,Null Transaction
425,2,Null Transaction
425,1,Buy
423,4,Null Transaction
423,3,Null Transaction
423,2,Null Transaction
423,1,Null Transaction
425,4,Null Transaction
425,3,Null Transaction
425,2,Null Transaction
425,1,Buy
426,4,Null Transaction
426,3,Null Transaction
426,2,Null Transaction
426,1,Null Transaction
430,4,Null Transaction
430,3,Null Transaction
430,2,Null Transaction
430,1,Buy
427,4,Buy
427,3,Null Transaction
427,2,Null Transaction
427,1,Null Transaction
431,4,Null Transaction
431,3,Null Transaction
431,2,Buy
431,1,Buy
433,4,Null Transaction
433,3,Buy
433,2,Buy
433,1,Buy
434,4,Null Transaction
434,3,Buy
434,2,Null Transaction
434,1,Null Transaction
439,4,Null Transaction
439,3,Null Transaction
439,2,Null Transaction
439,1,Buy
433,4,Null Transaction
433,3,Null Transaction
433,2,Null Transaction
433,1,Buy
435,4,Null Transaction
435,3,Buy
435,2,Null Transaction
435,1,Buy
439,4,Buy
439,3,Null Transaction
439,2,Null Transaction
439,1,Buy
443,4,Null Transaction
443,3,Buy
443,2,Null Transaction
443,1,Null Transaction
443,4,Null Transaction
443,3,Null Transaction
443,2,Null Transaction
443,1,Null Transaction
437,4,Null Transaction
437,3,Buy
437,2,Buy
437,1,Null Transaction
439,4,Null Transaction
439,3,Buy
439,2,Null Transaction
439,1,Null Transaction
440,4,Null Transaction
440,3,Null Transaction
440,2,Null Transaction
440,1,Null Transaction
446,4,Buy
446,3,Buy
446,2,Null Transaction
446,1,Null Transaction
449,4,Null Transaction
449,3,Buy
449,2,Null Transaction
449,1,Null Transaction
450,4,Null Transaction
450,3,Buy
450,2,Null Transaction
450,1,Buy
446,4,Null Transaction
446,3,Null Transaction
446,2,Null Transaction
446,1,Null Transaction
445,4,Buy
445,3,Null Transaction
445,2,Buy
445,1,Null Transaction
449,4,Null Transaction
449,3,Null Transaction
449,2,Null Transaction
449,1,Null Transaction
450,4,Null Transaction
450,3,Null Transaction
450,2,Null Transaction
450,1,Null Transaction
450,4,Null Transaction
450,3,Null Transaction
450,2,Null Transaction
450,1,Buy
454,4,Null Transaction
454,3,Null Transaction
454,2,Null Transaction
454,1,Null Transaction
450,4,Null Transaction
450,3,Null Transaction
450,2,Null Transaction
450,1,Null Transaction
456,4,Null Transaction
456,3,Null Transaction
456,2,Buy
456,1,Null Transaction
460,4,Buy
460,3,Buy
460,2,Buy
460,1,Null Transaction
456,4,Null Transaction
456,3,Buy
456,2,Null Transaction
456,1,Null Transaction
455,4,Null Transaction
455,3,Buy
455,2,Null Transaction
455,1,Null Transaction
456,4,Null Transaction
456,3,Null Transaction
456,2,Null Transaction
456,1,Buy
455,4,Null Transaction
