Tick ,Customer ID,Transaction Status,With
1276,3,Invalid Transaction,-->1276
1276,2,Invalid Transaction,-->1276
1276,1,Invalid Transaction,-->1276
1277,4,Invalid Transaction,-->1277
1277,3,Invalid Transaction,-->1277
1277,2,Invalid Transaction,-->1277
1277,1,Invalid Transaction,-->1277
1278,4,Invalid Transaction,-->1278
1278,3,Invalid Transaction,-->1278
1278,2,Invalid Transaction,-->1278
1278,1,Invalid Transaction,-->1278
1279,4,Invalid Transaction,-->1279
1279,3,Invalid Transaction,-->1279
1279,2,Invalid Transaction,-->1279
1279,1,Invalid Transaction,-->1279
1280,4,Invalid Transaction,-->1280
1280,3,Invalid Transaction,-->1280
1280,2,Invalid Transaction,-->1280
1280,1,Invalid Transaction,-->1280
1281,4,Invalid Transaction,-->1281
1281,3,Invalid Transaction,-->1281
1281,2,Invalid Transaction,-->1281
1281,1,Invalid Transaction,-->1281
1282,4,Invalid Transaction,-->1282
1282,3,Invalid Transaction,-->1282
1282,2,Invalid Transaction,-->1282
1282,1,Invalid Transaction,-->1282
1283,4,Invalid Transaction,-->1283
1283,3,Invalid Transaction,-->1283
1283,2,Invalid Transaction,-->1283
1283,1,Invalid Transaction,-->1283
1284,4,Invalid Transaction,-->1284
1284,3,Invalid Transaction,-->1284
1284,2,Invalid Transaction,-->1284
1284,1,Invalid Transaction,-->1284
1285,4,Invalid Transaction,-->1285
1285,3,Invalid Transaction,-->1285
1285,2,Invalid Transaction,-->1285
1285,1,Invalid Transaction,-->1285
1286,4,Invalid Transaction,-->1286
1286,3,Invalid Transaction,-->1286
1286,2,Invalid Transaction,-->1286
1286,1,Invalid Transaction,-->1286
1287,4,Invalid Transaction,-->1287
1287,3,Invalid Transaction,-->1287
1287,2,Invalid Transaction,-->1287
1287,1,Invalid Transaction,-->1287
1288,4,Invalid Transaction,-->1288
1288,3,Invalid Transaction,-->1288
1288,2,Invalid Transaction,-->1288
1288,1,Invalid Transaction,-->1288
1289,4,Invalid Transaction,-->1289
1289,3,Invalid Transaction,-->1289
1289,2,Invalid Transaction,-->1289
1289,1,Invalid Transaction,-->1289
1290,4,Invalid Transaction,-->1290
1290,3,Invalid Transaction,-->1290
1290,2,Invalid Transaction,-->1290
1290,1,Invalid Transaction,-->1290
1291,4,Invalid Transaction,-->1291
1291,3,Invalid Transaction,-->1291
1291,2,Invalid Transaction,-->1291
1291,1,Invalid Transaction,-->1291
1292,4,Invalid Transaction,-->1292
1292,3,Invalid Transaction,-->1292
1292,2,Invalid Transaction,-->1292
1292,1,Invalid Transaction,-->1292
1293,4,Invalid Transaction,-->1293
1293,3,Invalid Transaction,-->1293
1293,2,Invalid Transaction,-->1293
1293,1,Invalid Transaction,-->1293
1294,4,Invalid Transaction,-->1294
1294,3,Invalid Transaction,-->1294
1294,2,Invalid Transaction,-->1294
1294,1,Invalid Transaction,-->1294
1295,4,Invalid Transaction,-->1295
1295,3,Invalid Transaction,-->1295
1295,2,Invalid Transaction,-->1295
1295,1,Invalid Transaction,-->1295
1296,4,Invalid Transaction,-->1296
1296,3,Invalid Transaction,-->1296
1296,2,Invalid Transaction,-->1296
1296,1,Invalid Transaction,-->1296
1297,4,Invalid Transaction,-->1297
1297,3,Invalid Transaction,-->1297
1297,2,Invalid Transaction,-->1297
1297,1,Invalid Transaction,-->1297
1298,4,Invalid Transaction,-->1298
1298,3,Invalid Transaction,-->1298
1298,2,Invalid Transaction,-->1298
1298,1,Invalid Transaction,-->1298
1299,4,Invalid Transaction,-->1299
1299,3,Invalid Transaction,-->1299
1299,2,Invalid Transaction,-->1299
1299,1,Invalid Transaction,-->1299
1300,4,Invalid Transaction,-->1300
1300,3,Invalid Transaction,-->1300
1300,2,Invalid Transaction,-->1300
1300,1,Invalid Transaction,-->1300
1301,4,Invalid Transaction,-->1301
1301,3,Invalid Transaction,-->1301
1301,2,Invalid Transaction,-->1301
1301,1,Invalid Transaction,-->1301
1302,4,Invalid Transaction,-->1302
1302,3,Invalid Transaction,-->1302
1302,2,Invalid Transaction,-->1302
1302,1,Invalid Transaction,-->1302
1303,4,Invalid Transaction,-->1303
1303,3,Invalid Transaction,-->1303
1303,2,Invalid Transaction,-->1303
1303,1,Invalid Transaction,-->1303
1304,4,Invalid Transaction,-->1304
1304,3,Invalid Transaction,-->1304
1304,2,Invalid Transaction,-->1304
1304,1,Invalid Transaction,-->1304
1305,4,Invalid Transaction,-->1305
1305,3,Invalid Transaction,-->1305
1305,2,Invalid Transaction,-->1305
1305,1,Invalid Transaction,-->1305
1306,4,Invalid Transaction,-->1306
1306,3,Invalid Transaction,-->1306
1306,2,Invalid Transaction,-->1306
1306,1,Invalid Transaction,-->1306
1307,4,Invalid Transaction,-->1307
1307,3,Invalid Transaction,-->1307
1307,2,Invalid Transaction,-->1307
1307,1,Invalid Transaction,-->1307
1308,4,Invalid Transaction,-->1308
1308,3,Invalid Transaction,-->1308
1308,2,Invalid Transaction,-->1308
1308,1,Invalid Transaction,-->1308
1309,4,Invalid Transaction,-->1309
1309,3,Invalid Transaction,-->1309
1309,2,Invalid Transaction,-->1309
1309,1,Invalid Transaction,-->1309
1310,4,Invalid Transaction,-->1310
1310,3,Invalid Transaction,-->1310
1310,2,Invalid Transaction,-->1310
1310,1,Invalid Transaction,-->1310
1311,4,Invalid Transaction,-->1311
1311,3,Invalid Transaction,-->1311
1311,2,Invalid Transaction,-->1311
1311,1,Invalid Transaction,-->1311
1312,4,Invalid Transaction,-->1312
1312,3,Invalid Transaction,-->1312
1312,2,Invalid Transaction,-->1312
1312,1,Invalid Transaction,-->1312
1313,4,Invalid Transaction,-->1313
1313,3,Invalid Transaction,-->1313
1313,2,Invalid Transaction,-->1313
1313,1,Invalid Transaction,-->1313
1314,4,Invalid Transaction,-->1314
1314,3,Invalid Transaction,-->1314
1314,2,Invalid Transaction,-->1314
1314,1,Invalid Transaction,-->1314
1315,4,Invalid Transaction,-->1315
1315,3,Invalid Transaction,-->1315
1315,2,Invalid Transaction,-->1315
1315,1,Invalid Transaction,-->1315
1316,4,Invalid Transaction,-->1316
1316,3,Invalid Transaction,-->1316
1316,2,Invalid Transaction,-->1316
1316,1,Invalid Transaction,-->1316
1317,4,Invalid Transaction,-->1317
1317,3,Invalid Transaction,-->1317
1317,2,Invalid Transaction,-->1317
1317,1,Invalid Transaction,-->1317
1318,4,Invalid Transaction,-->1318
1318,3,Invalid Transaction,-->1318
1318,2,Invalid Transaction,-->1318
1318,1,Invalid Transaction,-->1318
1319,4,Invalid Transaction,-->1319
1319,3,Invalid Transaction,-->1319
1319,2,Invalid Transaction,-->1319
1319,1,Invalid Transaction,-->1319
1320,4,Invalid Transaction,-->1320
1320,3,Invalid Transaction,-->1320
1320,2,Invalid Transaction,-->1320
1320,1,Invalid Transaction,-->1320
1321,4,Invalid Transaction,-->1321
1321,3,Invalid Transaction,-->1321
1321,2,Invalid Transaction,-->1321
1321,1,Invalid Transaction,-->1321
1322,4,Invalid Transaction,-->1322
1322,3,Invalid Transaction,-->1322
1322,2,Invalid Transaction,-->1322
1322,1,Invalid Transaction,-->1322
1323,4,Invalid Transaction,-->1323
1323,3,Invalid Transaction,-->1323
1323,2,Invalid Transaction,-->1323
1323,1,Invalid Transaction,-->1323
1324,4,Invalid Transaction,-->1324
1324,3,Invalid Transaction,-->1324
1324,2,Invalid Transaction,-->1324
1324,1,Invalid Transaction,-->1324
1325,4,Invalid Transaction,-->1325
1325,3,Invalid Transaction,-->1325
1325,2,Invalid Transaction,-->1325
1325,1,Invalid Transaction,-->1325
1326,4,Invalid Transaction,-->1326
1326,3,Invalid Transaction,-->1326
1326,2,Invalid Transaction,-->1326
1326,1,Invalid Transaction,-->1326
1327,4,Invalid Transaction,-->1327
1327,3,Invalid Transaction,-->1327
1327,2,Invalid Transaction,-->1327
1327,1,Invalid Transaction,-->1327
1328,4,Invalid Transaction,-->1328
1328,3,Invalid Transaction,-->1328
1328,2,Invalid Transaction,-->1328
1328,1,Invalid Transaction,-->1328
1329,4,Invalid Transaction,-->1329
1329,3,Invalid Transaction,-->1329
1329,2,Invalid Transaction,-->1329
1329,1,Invalid Transaction,-->1329
1330,4,Invalid Transaction,-->1330
1330,3,Invalid Transaction,-->1330
1330,2,Invalid Transaction,-->1330
1330,1,Invalid Transaction,-->1330
1331,4,Invalid Transaction,-->1331
1331,3,Invalid Transaction,-->1331
1331,2,Invalid Transaction,-->1331
1331,1,Invalid Transaction,-->1331
1332,4,Invalid Transaction,-->1332
1332,3,Invalid Transaction,-->1332
1332,2,Invalid Transaction,-->1332
1332,1,Invalid Transaction,-->1332
1333,4,Invalid Transaction,-->1333
1333,3,Invalid Transaction,-->1333
1333,2,Invalid Transaction,-->1333
1333,1,Invalid Transaction,-->1333
1334,4,Invalid Transaction,-->1334
1334,3,Invalid Transaction,-->1334
1334,2,Invalid Transaction,-->1334
1334,1,Invalid Transaction,-->1334
1335,4,Invalid Transaction,-->1335
1335,3,Invalid Transaction,-->1335
1335,2,Invalid Transaction,-->1335
1335,1,Invalid Transaction,-->1335
1336,4,Invalid Transaction,-->1336
1336,3,Invalid Transaction,-->1336
